"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00357641","SEASIDE, OR US","2021-01-01",,,"0.00","0.0","0.0","57","48"
"USC00357641","SEASIDE, OR US","2021-01-02",,,"0.00","0.0","0.0","57","48"
"USC00357641","SEASIDE, OR US","2021-01-03",,,"4.11","0.0","0.0","52","43"
"USC00357641","SEASIDE, OR US","2021-01-04",,,"1.20","0.0","0.0","55","47"
"USC00357641","SEASIDE, OR US","2021-01-05",,,"0.26","0.0","0.0","54","44"
"USC00357641","SEASIDE, OR US","2021-01-06",,,"1.67","0.0","0.0","54","46"
"USC00357641","SEASIDE, OR US","2021-01-07",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-08","    2","0.81",,"0.0","0.0","54","43"
"USC00357641","SEASIDE, OR US","2021-01-09",,,"0.01","0.0","0.0","50","31"
"USC00357641","SEASIDE, OR US","2021-01-10",,,"2.57","0.0","0.0","54","44"
"USC00357641","SEASIDE, OR US","2021-01-11",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-12",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-13","    3","1.55",,"0.0","0.0","50","46"
"USC00357641","SEASIDE, OR US","2021-01-14",,,"0.00","0.0","0.0","63","42"
"USC00357641","SEASIDE, OR US","2021-01-15",,,"0.40","0.0","0.0","61","48"
"USC00357641","SEASIDE, OR US","2021-01-16",,,"0.00","0.0","0.0","57","36"
"USC00357641","SEASIDE, OR US","2021-01-17",,,"0.00","0.0","0.0","52","36"
"USC00357641","SEASIDE, OR US","2021-01-18",,,"0.00","0.0","0.0","53","32"
"USC00357641","SEASIDE, OR US","2021-01-19",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-20",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-21",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-22","    4","0.13",,"0.0","0.0","55","32"
"USC00357641","SEASIDE, OR US","2021-01-23",,,"0.00","0.0","0.0","48","29"
"USC00357641","SEASIDE, OR US","2021-01-24",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-25","    2","0.95",,"0.0","0.0","46","35"
"USC00357641","SEASIDE, OR US","2021-01-26",,,"0.25","0.0","0.0","46","33"
"USC00357641","SEASIDE, OR US","2021-01-27",,,"0.08","0.0","0.0","43","35"
"USC00357641","SEASIDE, OR US","2021-01-28",,,"0.18","0.0","0.0","49","40"
"USC00357641","SEASIDE, OR US","2021-01-29",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-01-30","    2","1.40",,"0.0","0.0","50","32"
"USC00357641","SEASIDE, OR US","2021-01-31",,,"1.15","0.0","0.0","52","43"
"USC00357641","SEASIDE, OR US","2021-02-01",,,"0.00","0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-02",,,"1.90","0.0","0.0","52","41"
"USC00357641","SEASIDE, OR US","2021-02-03",,,"0.80","0.0","0.0","46","35"
"USC00357641","SEASIDE, OR US","2021-02-04",,,"0.40","0.0","0.0","47","36"
"USC00357641","SEASIDE, OR US","2021-02-05",,,"0.45","0.0","0.0","48","38"
"USC00357641","SEASIDE, OR US","2021-02-06",,,,"0.0","0.0",,
"USC00357641","SEASIDE, OR US","2021-02-07","    2","0.26",,"0.0","0.0","48","43"
"USC00357641","SEASIDE, OR US","2021-02-08",,,"0.01","0.0","0.0","46","37"
