"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT06","WT08"
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-01","2.01",,"0.00",,,"24","22","    1",,,,"    1"
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-02","4.92",,"0.06",,,"27","21","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-03","7.61",,"0.08",,,"34","23","    1","    1",,,"    1"
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-04","3.58",,"0.13",,,"37","17","    1","    1",,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-05","9.40",,"0.16",,,"36","25","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-06","3.13",,"0.00",,,"29","13",,,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-07","4.03",,"0.00",,,"30","17","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-08","4.70",,"0.00",,,"32","13","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-09","2.91",,"0.00",,,"21","1",,,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-10","1.57",,"0.00",,,"23","11","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-11","2.91",,"0.00",,,"21","4",,,,,"    1"
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-12","3.13",,"0.09",,,"28","1","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-13","5.14",,"0.03",,,"40","18","    1",,,"    1",
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-14","3.80",,"0.00",,,"29","2",,,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-15","3.13",,"0.00",,,"27","2",,,,,"    1"
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-16","2.46",,"0.00",,,"26","15","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-17","1.34",,"0.00",,,"25","22","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-18","4.47",,"0.00",,,"27","10","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-19","4.92",,"0.00",,,"24","4","    1",,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-20","3.80",,"0.00",,,"25","1",,,,,
"USW00094194","REXBURG MADISON CO AIRPORT, ID US","2021-01-21","1.12",,"0.26",,,"28","16","    1",,,,
